trajectory,step,metric,mean,delta_from_base,ci95_low,ci95_high,increased_items,n
base,500,text_entropy,1.1322145225487266,-0.08255097442941722,-0.09203895894672061,-0.07360918884952614,0,24
base,500,entropy_delta,0.17754889477079497,0.011685478955338615,0.0053830181832763375,0.018368482507757012,18,24
base,500,entropy_delta_abs,0.28242041763995457,0.011879365573097133,0.007945408811591292,0.015983897353424058,23,24
base,500,training_reference_entropy_delta_abs,0.30525617790865994,0.05267072525899865,0.04329189217252404,0.06187200486355073,24,24
base,500,audio_silence_logprob_delta,0.3498492441920684,0.020819175570204934,0.015895537351427725,0.02602785268259406,23,24
base,500,current_no_features_entropy,1.1229637828362442,-0.08256754840326892,-0.09090933051435725,-0.0744806399961641,0,24
base,500,refreshed_reference_entropy_delta,0.1682981550583126,0.01166890498148689,0.006925524537171985,0.016155063516892405,20,24
base,500,refreshed_reference_entropy_delta_abs,0.26435236839730963,0.011766915747648321,0.00935548995734158,0.014116646084736393,23,24
base,500,preceding_reference_entropy_delta,0.16894403940591185,0.012314789329086154,0.0074292858756029945,0.016966150799366565,19,24
base,500,preceding_reference_entropy_delta_abs,0.26493144923624884,0.012345996586587476,0.010131292304594506,0.01460893859894135,24,24
base,500,attention_max_late_early_lift,1.323232777316603,0.049742048652905414,-0.41475801759032477,0.39621295281001984,17,24
base,500,attention_mean_late_early_lift,1.3534114196301419,-0.07077847550525,-0.5281447521779684,0.26320902376830163,18,24
checkpoint-500,0,attention_train3_max,0.03450255237763821,0.0,0.0,0.0,0,24
checkpoint-500,0,attention_train3_mean,0.006424887076539168,0.0,0.0,0.0,0,24
checkpoint-500,0,attention_last8_max,0.05272923490810364,0.0,0.0,0.0,0,24
checkpoint-500,0,attention_last8_mean,0.008913736639927802,0.0,0.0,0.0,0,24
checkpoint-500,0,attention_train3_max_lift,0.08593014910139495,0.0,0.0,0.0,0,24
checkpoint-500,0,attention_train3_mean_lift,0.015269974017415392,0.0,0.0,0.0,0,24
checkpoint-500,0,audio_entropy,1.1328971240719963,0.0,0.0,0.0,0,24
checkpoint-500,0,text_entropy,1.3295821609073692,0.0,0.0,0.0,0,24
checkpoint-500,0,entropy_delta,0.19668503683537306,0.0,0.0,0.0,0,24
checkpoint-500,0,entropy_delta_abs,0.290584096642526,0.0,0.0,0.0,0,24
checkpoint-500,0,training_reference_entropy_delta_abs,0.27371682080124954,0.0,0.0,0.0,0,24
checkpoint-500,0,audio_silence_logprob_delta,0.34821975159425644,0.0,0.0,0.0,0,24
checkpoint-500,0,current_no_features_entropy,1.3190668563175494,0.0,0.0,0.0,0,24
checkpoint-500,0,refreshed_reference_entropy_delta,0.1861697322455532,0.0,0.0,0.0,0,24
checkpoint-500,0,refreshed_reference_entropy_delta_abs,0.27371682080124954,0.0,0.0,0.0,0,24
checkpoint-500,0,preceding_reference_entropy_delta,0.1861697322455532,0.0,0.0,0.0,0,24
checkpoint-500,0,preceding_reference_entropy_delta_abs,0.27371682080124954,0.0,0.0,0.0,0,24
checkpoint-500,0,attention_max_late_early_lift,1.1157754290299549,0.0,0.0,0.0,0,24
checkpoint-500,0,attention_mean_late_early_lift,1.209063078353782,0.0,0.0,0.0,0,24
checkpoint-500,100,attention_train3_max,0.04215123419302732,0.007648681815389111,0.0060898014524657625,0.00936307594583118,24,24
checkpoint-500,100,attention_train3_mean,0.00788983097752397,0.0014649439009848015,0.0011260346521377313,0.001833879377241668,24,24
checkpoint-500,100,attention_last8_max,0.06059904735340294,0.0078698124452993,0.006375089685695528,0.009503132767876175,24,24
checkpoint-500,100,attention_last8_mean,0.010277206506838978,0.0013634698669111756,0.001048932558477061,0.0017064680428948587,24,24
checkpoint-500,100,attention_train3_max_lift,0.1059455525308689,0.02001540342947396,0.01721696385597238,0.023100066755218657,24,24
checkpoint-500,100,attention_train3_mean_lift,0.01889171818055792,0.003621744163142529,0.0031796891643953162,0.004094700014510924,24,24
checkpoint-500,100,audio_entropy,1.08301113572617,-0.04988598834582619,-0.05387690310530721,-0.046075611975587405,0,24
checkpoint-500,100,text_entropy,1.2896757223426627,-0.03990643856470663,-0.04330286737640405,-0.03658060126996773,0,24
checkpoint-500,100,entropy_delta,0.2066645866164926,0.009979549781119567,0.0071336591566785006,0.012915458955678933,21,24
checkpoint-500,100,entropy_delta_abs,0.29548882311975805,0.004904726477232013,0.002805286537740801,0.006940285003588033,19,24
checkpoint-500,100,training_reference_entropy_delta_abs,0.29700815941372066,0.023291338612471128,0.019732015451450913,0.026920801991426446,24,24
checkpoint-500,100,audio_silence_logprob_delta,0.3557356941487235,0.007515942554467132,0.0041683854476276035,0.010861936966158383,18,24
checkpoint-500,100,current_no_features_entropy,1.2771866957495377,-0.04188016056801177,-0.04581234259566227,-0.03825713254953685,0,24
checkpoint-500,100,refreshed_reference_entropy_delta,0.19417556002336767,0.008005827777814426,0.004598223035340546,0.011102693233082347,20,24
checkpoint-500,100,refreshed_reference_entropy_delta_abs,0.2768372118139954,0.003120391012745865,0.0011096006465372153,0.004936635945696414,19,24
checkpoint-500,100,preceding_reference_entropy_delta,0.2360557205913794,0.04988598834582619,0.04607561197558741,0.053876903105307176,24,24
checkpoint-500,100,preceding_reference_entropy_delta_abs,0.29700815941372066,0.023291338612471128,0.019732015451450913,0.026920801991426446,24,24
checkpoint-500,100,attention_max_late_early_lift,1.1409067885316115,0.025131359501656788,-0.016641663699762506,0.06694814857933222,17,24
checkpoint-500,100,attention_mean_late_early_lift,1.2216040672383393,0.012540988884557363,-0.03290536620603731,0.05575698461018027,16,24
checkpoint-500,200,attention_train3_max,0.06621631675763646,0.031713764379998254,0.02620230074123524,0.03761172183853315,24,24
checkpoint-500,200,attention_train3_mean,0.012263725959969685,0.005838838883430518,0.004682570522822582,0.007098241043767798,24,24
checkpoint-500,200,attention_last8_max,0.0830364493850701,0.030307214476966462,0.025077608688226193,0.03574078036140919,24,24
checkpoint-500,200,attention_last8_mean,0.014069008975480904,0.005155272335553101,0.004120688229671051,0.006284051255487643,24,24
checkpoint-500,200,attention_train3_max_lift,0.17289586957537975,0.08696572047398483,0.07393477241534557,0.1021967790002124,24,24
checkpoint-500,200,attention_train3_mean_lift,0.03040587883424892,0.015135904816833532,0.013198931686859212,0.01738406934100472,24,24
checkpoint-500,200,audio_entropy,1.0587842720666012,-0.07411285200539504,-0.08105982785959243,-0.06744472524815638,0,24
checkpoint-500,200,text_entropy,1.2687011493897398,-0.06088101151762936,-0.0662108698389967,-0.05563106117274291,0,24
checkpoint-500,200,entropy_delta,0.2099168773231387,0.013231840487765698,0.009541483269175834,0.017088405435624593,23,24
checkpoint-500,200,entropy_delta_abs,0.2988103085600965,0.008226211917570475,0.0055106211410216365,0.010986904496173133,22,24
checkpoint-500,200,training_reference_entropy_delta_abs,0.31316940892836276,0.03945258812711318,0.03307268667692183,0.046277486552151144,24,24
checkpoint-500,200,audio_silence_logprob_delta,0.35903684745262404,0.010817095858367575,0.006787273293744823,0.014912276900374171,19,24
checkpoint-500,200,current_no_features_entropy,1.2570153241185216,-0.06205153219902785,-0.0678891510733477,-0.05659617980226826,0,24
checkpoint-500,200,refreshed_reference_entropy_delta,0.19823105205192038,0.012061319806367177,0.008057429935568884,0.01590384462961929,21,24
checkpoint-500,200,refreshed_reference_entropy_delta_abs,0.28122445294043646,0.00750763213918691,0.004989526070956669,0.009859759205530533,21,24
checkpoint-500,200,preceding_reference_entropy_delta,0.2184024236829365,0.03223269143738328,0.027479143415805745,0.036697794435535086,24,24
checkpoint-500,200,preceding_reference_entropy_delta_abs,0.2883322958224928,0.014615475021243288,0.010734080674615155,0.018594053276907878,23,24
checkpoint-500,200,attention_max_late_early_lift,1.265804024351327,0.1500285953213723,0.015849956490630705,0.29021292520838965,17,24
checkpoint-500,200,attention_mean_late_early_lift,1.3256304298068002,0.11656735145301815,-0.02308200829480974,0.2601169273404969,17,24
checkpoint-500,300,attention_train3_max,0.09828154965714493,0.06377899727950674,0.053417252541711015,0.07437033726635629,24,24
checkpoint-500,300,attention_train3_mean,0.01777850417439852,0.01135361709785935,0.009293726613059093,0.0134648609082418,24,24
checkpoint-500,300,attention_last8_max,0.10934671968209848,0.056617484773994836,0.047433003894349075,0.0658431929569829,24,24
checkpoint-500,300,attention_last8_mean,0.01835320207246107,0.009439465432533267,0.00769507532939394,0.011260669478782091,24,24
checkpoint-500,300,attention_train3_max_lift,0.26786018279608476,0.18193003369468985,0.15166995998222488,0.21848431143145922,24,24
checkpoint-500,300,attention_train3_mean_lift,0.04585437775696132,0.030584403739545924,0.026290623228153242,0.036045034690069755,24,24
checkpoint-500,300,audio_entropy,1.0439501216680858,-0.0889470024039104,-0.09838302034940921,-0.08013223888457224,0,24
checkpoint-500,300,text_entropy,1.2558606271330763,-0.07372153377429286,-0.08152091844018802,-0.06606501245161825,0,24
checkpoint-500,300,entropy_delta,0.21191050546499057,0.015225468629617545,0.010671225646126499,0.02005293572860823,22,24
checkpoint-500,300,entropy_delta_abs,0.30309982174601197,0.01251572510348598,0.009396668756431246,0.015637174508067318,22,24
checkpoint-500,300,training_reference_entropy_delta_abs,0.32639570359735054,0.052678882796100966,0.04457767877955858,0.06125087267545658,24,24
checkpoint-500,300,audio_silence_logprob_delta,0.3619191295225755,0.013699377928319071,0.009098456687521378,0.018199883060585943,22,24
checkpoint-500,300,current_no_features_entropy,1.2428356066394914,-0.07623124967805789,-0.0845407122989622,-0.0683327433287513,0,24
checkpoint-500,300,refreshed_reference_entropy_delta,0.19888548497140576,0.012715752725852516,0.008111037122808222,0.01687112533939984,19,24
